Year,skips_breakfast,exercise_intensity,takes_therapy,has_pets,sleep_habits,hours_studied,energy
1,no,4,no,yes,early_bird,4,medium
1,yes,1,no,yes,night_owl,3,low-medium
2,yes,2,no,no,early_bird,3,low
2,yes,2,yes,no,night_owl,2,medium-high
3,no,4,yes,yes,early_bird,4,medium
4,yes,2,no,no,normal_sleeper,4,low
1,no,2,no,yes,normal_sleeper,0.5,medium-high
3,yes,4,yes,no,early_bird,1,low-medium
2,yes,3,no,yes,night_owl,2,low
4,no,2,yes,no,night_owl,0.5,high
1,yes,2,yes,yes,night_owl,0.5,medium
3,no,2,no,yes,early_bird,3,medium-high
3,yes,1,no,yes,normal_sleeper,2,medium-high
2,no,1,yes,yes,normal_sleeper,2.5,high
1,no,3,yes,no,early_bird,1.5,high
4,no,2,yes,no,early_bird,2,medium-high
4,no,4,no,yes,night_owl,3,low-medium
2,no,3,no,no,night_owl,3.5,low
1,no,4,yes,yes,early_bird,2.5,medium
4,yes,2,no,no,early_bird,2.5,low
3,yes,1,yes,no,early_bird,1.5,medium
3,no,1,no,yes,night_owl,4,low-medium
2,no,2,yes,yes,normal_sleeper,3,medium
4,yes,4,yes,no,normal_sleeper,2.5,medium